Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2/27/2020,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-5.107188649,-5.405878901,-0.152950639,6.03174362,-0.094958957,0.245881671,1.410009422,-0.224763908,-10.60529868,-3.887760046,3.063882371,-1.864167717,3.593197948,0.25056693,-0.991547779,-0.716487134,0.855431102,,
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,3.868361903,-2.875183528,7.207933018,2.253357413,11.02277394,1.59421129,18.51536871,11.26413324,-2.681080849,8.974879568,1.974168629,-0.665270518,-1.622886672,-0.541697283,0.082078929,-1.350178336,
Angola,AGO,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.822113704,9.943764019,-0.431850563,7.187035527,11.0308358,7.58232901,9.890011506,7.116873151,-2.808634457,1.079168937,-0.220846531,4.70645928,1.292085644,1.219832785,-2.468715169,-5.816236718,-3.409903315,-5.287779594,
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,9.311123961,4.853922135,5.925630153,5.951880823,6.071390912,6.570331606,6.783926591,8.328035999,4.048889359,4.223036876,2.821558737,1.585154888,1.187205469,1.985426089,2.516852212,3.480117005,3.916611971,4.40251487,
Andorra,AND,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.517844707,2.354988636,7.366656546,3.324673509,3.825117605,1.792359358,-2.005942911,-9.874029633,-4.375946682,-5.343136111,-3.847253205,-0.03966755,2.405291834,4.293204133,2.395988608,2.830284261,2.115060153,1.622746677,
Arab World,ARB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.559743945,-1.543873183,3.067362919,6.914493599,3.363448011,4.024758288,2.09252926,3.287798669,-1.958941034,2.330118683,1.270084929,4.2791592,0.923670101,0.273518619,1.188057416,1.326749284,-1.095241692,0.127618284,
United Arab Emirates,ARE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-3.778971439,-2.750614931,1.966528205,-0.037811251,-7.020583817,-4.916643016,-11.34550429,-10.2087752,-15.15125558,-5.914810324,2.187920775,2.257926243,4.410159045,4.100219471,4.553055405,1.981139395,-0.846125274,0.207936371,
Argentina,ARG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-5.447091545,-11.85477684,7.676545539,7.884937565,7.729475205,6.955547382,7.924238139,3.029477312,-6.854227333,9.300128322,4.788683139,-2.14528445,1.265685175,-3.57858051,1.629664279,-3.110063898,1.609282344,-3.467376243,
Armenia,ARM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,10.23552424,13.80965043,14.64713695,11.10148061,14.60861703,14.07663192,14.74561651,7.819137248,-13.56956831,2.582648081,4.728426774,6.914143645,2.82388904,3.07285853,2.736128724,-0.16150062,7.18375793,4.95169918,
American Samoa,ASM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,0.095753115,0.240184563,-0.202616989,-3.428950886,3.259806828,-1.134692886,-2.870528545,1.524295609,0.869269598,-4.234377289,-2.836798492,0.803753378,1.365901551,-2.645383249,-5.64961891,2.470435213,
Antigua and Barbuda,ATG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-6.426319008,-0.373294901,4.713795081,4.372899982,4.937666252,11.03970617,7.540417466,-1.63509231,-13.47436502,-8.920402499,-3.304233499,2.05110583,-1.803232595,2.622780496,2.711206847,4.42525495,2.173818458,6.430026467,
Australia,AUS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.565713356,2.739689402,1.722906343,2.856147677,1.851031265,1.289259674,3.197638455,1.601262237,-0.142541245,0.492100956,1.0488838,2.119682504,0.834341933,1.015114993,0.732399751,1.177911433,0.657653884,1.331877548,
Austria,AUT,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.880259098,1.152676331,0.450946527,2.099711169,1.549877317,2.943417859,3.391730827,1.143307119,-4.016340042,1.592577128,2.576448318,0.222450577,-0.562298943,-0.122370667,-0.11154019,0.984638283,1.767087438,1.8470512,
Azerbaijan,AZE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,9.051822301,8.625351139,9.37646097,8.301538012,26.66009473,32.99706632,24.04867893,8.293390791,7.122238739,3.549455657,-2.847182953,0.853886052,4.482470077,1.522139192,-0.145834454,-4.141769798,-1.255720601,0.512193853,
Burundi,BDI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.238090712,1.664524825,-4.155083318,1.562404033,-2.294459325,2.046996795,0.104987386,1.456421292,0.455622978,1.756376353,0.748442779,1.198056673,1.687469876,1.021529748,-6.886405717,-3.708336062,-2.646941222,-1.557407354,
Belgium,BEL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.752480191,1.25198916,0.615850408,3.123917516,1.760455919,1.878186998,2.918375182,-0.343464812,-2.805903633,1.928756882,0.38001833,0.116415122,-0.013162462,1.128585855,1.443273424,0.998454175,1.572153723,1.041719531,
Benin,BEN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.19312213,1.508016469,0.346990897,1.337853336,-1.247442478,0.978319651,3.004329193,1.96969488,-0.505433089,-0.715273205,0.116058298,1.924720372,4.239708127,3.433712855,-0.695138395,1.133240634,2.966881509,3.975183596,
Burkina Faso,BFA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.60861857,1.394565964,4.722707532,1.4641414,5.493463706,3.124181589,2.520313509,4.097485883,-0.107397986,2.239434997,3.466271475,3.309239817,2.684831408,1.282093646,0.885054448,2.863097486,3.319513927,3.812912022,
Bangladesh,BGD,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.113805084,1.960382474,2.941853266,3.553360233,4.965842913,5.244531351,5.753420689,4.806170346,3.878501409,4.390980367,5.25309563,5.298244958,4.794401642,4.856108324,5.368783423,5.950914578,6.142103948,6.737017522,
