Exporters,Exported value in 2001,Exported value in 2002,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019
World,6127467761,6424391781,7486202969,9099996891,10340858415,11956256558,13832342053,15969594225,12346656501,15095502449,18103987370,18395803866,18881587009,18878970324,16399773904,15881855749,17550866220,19284580098,
China,266098209,325595970,438227767,593325581,761953410,968935601,1220059668,1430693100,1201646800,1577763800,1898388400,2048782200,2209007300,2342292696,2273468224,2097637172,2263370504,2494230195,
United States of America,729080421,693068307,724736583,814844394,901041411,1037029245,1162538150,1299898877,1056712100,1278099187,1481682200,1544932000,1577587300,1619742900,1501845864,1451459684,1546462344,1665992032,1645174335
Germany,571426720,615997391,748531267,911742096,977131972,1121962887,1328841354,1457462950,1125844048,1267743109,1483802558,1410146321,1450937515,1498157800,1323665116,1340752046,1446642435,1556744351,1486462772
Japan,403344077,416729388,472006874,565761137,594940866,646725059,714327036,781412163,580718734,769773832,823183759,798620023,715097244,690217466,624873508,644932439,698132787,738188768,705656020
"Korea, Republic of",150430886,162466097,193817314,253844609,284418167,325457247,371477104,422003479,363531063,466380620,555208898,547854448,559648708,573091134,526900733,495465606,573716618,605169190,542333337
Netherlands,216157869,219820522,264796482,318040303,349813023,400685883,477640554,545853405,431502452,492645872,530575759,552461794,571246855,571347542,437329137,444867363,505941305,585622815,
"Hong Kong, China",191067244,201927773,228708303,265605542,292118674,322668792,349385575,370241819,329421935,400692015,455573380,492907472,535186743,524064899,510552779,516588131,549861455,569105740,535711019
France,289599105,304891879,358131717,413708422,434354245,479012852,539730712,594504995,464112811,511651043,585723824,558460545,567987698,569086275,495148752,490008030,524009722,568974863,555142797
Italy,244252016,254215604,299465736,353543123,372957146,417152997,500203413,541786283,406479127,446839830,523256296,501528851,518095103,529528733,456988626,461667625,507430236,543466795,
United Kingdom,279425459,285996254,312059900,355027954,392744019,458598557,454005490,482020962,359615540,422014118,517288693,481225754,548041853,511145443,466295683,411463356,442065707,487069299,469167656
Belgium,190309487,215803005,255553661,307690420,335691778,366835492,431743843,471797820,370879194,407595914,475957504,446854421,511505015,472201274,397739157,398033265,429980168,466653580,
Canada,261058775,252584260,272229686,317161192,360552446,388178676,419881604,455632184,315176831,386579900,450430008,454098967,456598271,475177176,408697324,390020604,420688035,450722776,446464616
Mexico,158386217,160750540,164906509,187980442,214207306,249960546,271821215,291264809,229712337,298305075,349326582,370706658,379949273,396881846,380527500,373900013,409451378,450531651,
Russian Federation,99868397,106691998,133655685,181600379,241451657,301550666,352266399,467993955,301796059,397067521,516992618,524766421,527265919,497833529,343907652,285491052,359151975,449347157,
Singapore,121753789,125177091,159963348,198632635,230343507,273382013,301594913,341079321,271079918,353240365,416289216,415615110,419931654,415418247,357941229,338081970,373254554,411741747,390344504
"Taipei, Chinese",122865858,130756458,144049516,174316269,188984732,223680013,245975138,254912272,203498546,274629404,307608831,300965330,304548376,313156430,279969446,280479468,317664787,335815761,
Spain,116148838,125872283,156004713,182727354,192798427,214061202,253753922,279231468,223132208,246265330,298170964,285936446,310963648,318649312,278122010,281776674,319621896,328527654,333626536
India,43878489,50097958,59360659,75904200,100352637,121200606,145898053,181860898,176765036,220408496,301483250,289564769,336611389,317544642,264381004,260326912,295846887,323056409,
United Arab Emirates,,,,,115452993,,156634000,210000000,,,,350123000,379488768,380339616,333362350,298650942,313547597,316922502,
Switzerland,82097697,91992367,104971878,123009911,130929632,147856286,172280973,200614754,172702655,195609280,234819262,312282673,357905224,311145884,291959194,304691297,299308693,310524275,314127579
Saudi Arabia,67674041,72128962,92765582,125551145,180277727,210823972,232855983,312999364,191810273,250577016,364139419,387373983,375360918,341947183,201491760,178874135,220068596,294535553,
Poland,35367141,40253902,52755502,73778928,89378069,109584113,138784983,171859898,136641305,157064948,188105090,179603599,203847918,214476794,194461157,196455270,221307621,261815269,
Australia,63288189,64984167,70288235,86484038,106011051,123324473,141181512,186853014,153899576,212108726,269423385,262466208,255621864,252602980,191192683,189554713,229743529,253827863,272359935
Thailand,64919226,68107865,80323274,96247901,110110034,130580046,153571126,177590394,152497203,195311520,228823973,229544513,228527440,227572764,210813560,213593669,236005981,249777335,245294173
Malaysia,88004108,93282453,104968562,126639701,141624046,160669231,175961863,198702475,157194832,198790691,226992682,227449500,228316107,234134977,200210872,189414073,217722507,247285745,238117127
Viet Nam,15029192,16706053,20149324,26485035,32447129,39826223,48561343,62685130,57096274,72236665,96905674,114529171,132032854,150217139,162016742,176580787,215118607,242969228,
Brazil,58286593,60438650,73203222,96677246,118528688,137806190,160648870,197942443,152994743,201915103,256038702,242578014,242032979,225098405,191126886,185235399,217739218,239889210,223998669
Czech Republic,33384210,44263576,48720350,65771587,78208548,95140986,120900492,146087029,112884321,132140914,162391721,156422743,161524152,174279452,157194123,162087332,182231361,202521578,198416033
Indonesia,56316867,57158751,61058187,71582468,85659948,100798616,114100873,137020424,116509992,157779103,203496619,190031839,182551754,176036194,150366281,144489796,168810043,180215034,
Austria,66492424,73112665,89256767,110829757,117721712,134169531,156588407,172227952,131387248,144882002,169511433,158820719,166273910,169712859,145275530,144700690,159970531,176991971,
Turkey,31333944,35761981,47252836,63120949,73476408,85534676,107271750,132027196,102142613,113883219,134906869,152461737,151802637,157610158,143850376,142529584,156992940,167923862,171098411
Ireland,82972822,88478829,93038464,104308435,110003088,108762824,122232811,127111345,116894674,120645180,129657903,120208958,118447212,123071289,124730515,132009760,138072213,167017888,169690689
Sweden,76303316,82983412,102410949,123309700,130263720,147370408,169061477,183880642,131116175,158410622,186898110,172439164,167494677,164680013,140001206,139273334,152902202,165926284,
Hungary,30497719,34336583,43003656,55468212,62271839,74055406,94590870,108211166,82571847,94748737,111216834,102829804,108014637,112536244,100296847,103071198,113382077,123957885,
Norway,59217129,59534884,67944291,82485230,103759175,122200204,136357021,173221369,114675480,130656792,160409821,160952207,155350553,144611290,104800055,89628327,101976020,122971518,102833180
Denmark,50973842,55673560,64614226,74740558,82278145,90886573,101957401,116271811,92090687,96216730,112713339,106104022,110469532,110748921,94618817,94729013,101434431,107969443,109866810
Iraq,,,,,,,,,,,,,,84506037,54602268,49442912,69018064,97231616,
