City,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Lacombe,CA,1584317403,60,52.47,-113.74,9.0,3.36
Creel,MX,1584317291,41,27.75,-107.63,60.71,11.43
Cabo San Lucas,MX,1584317408,60,22.89,-109.91,73.0,5.82
Eau Claire,US,1584317273,50,44.81,-91.5,39.2,3.36
Guaymas,MX,1584317413,50,27.93,-110.9,82.99,11.41
Bull Savanna,JM,1584317394,80,17.89,-77.59,69.85,2.39
Geraldton,AU,1584316931,83,-28.77,114.6,70.0,8.05
Marsh Harbour,BS,1584317420,70,26.54,-77.06,72.72,9.22
Puerto Ayora,EC,1584317287,78,-0.74,-90.35,82.4,10.29
Melfort,CA,1584317425,78,52.87,-104.62,12.2,8.05
Coahuayana Viejo,MX,1584316878,74,18.73,-103.68,80.6,13.87
San Patricio,MX,1584317365,70,19.22,-104.7,84.2,9.17
Sheffield,GB,1584317275,81,53.38,-1.47,44.01,6.93
Rikitea,PF,1584317342,81,-23.12,-134.97,79.11,12.15
Pulaski,US,1584317436,81,34.77,-92.3,48.2,11.41
Gimli,CA,1584316873,94,50.63,-96.99,25.0,5.99
Indaparapeo,MX,1584317369,41,19.78,-100.97,78.01,8.05
Taltal,CL,1584316924,90,-25.4,-70.48,59.16,3.02
Collierville,US,1584317448,87,35.04,-89.66,46.99,9.17
Barra de Tecoanapa,MX,1584317450,58,16.52,-98.75,85.06,7.58
Ilo,PE,1584316748,86,-17.64,-71.34,73.02,6.98
Cody,US,1584317317,85,44.53,-109.06,27.0,8.05
Tumbes,PE,1584317459,33,-3.57,-80.44,89.6,6.93
Eatonton,US,1584317461,82,33.33,-83.39,68.0,1.5
Machesney Park,US,1584317408,64,42.35,-89.04,39.2,4.7
Tocopilla,CL,1584317020,61,-22.09,-70.2,59.31,1.88
Flagstaff,US,1584317173,44,35.2,-111.65,66.0,8.05
Dodge City,US,1584317173,80,37.75,-100.02,41.0,12.75
Cedral,MX,1584317474,36,23.8,-100.73,74.52,16.82
Constitución,CL,1584316884,86,-35.33,-72.42,53.1,7.0
Santa Cruz de la Sierra,BO,1584317091,66,-17.8,-63.17,86.0,4.7
Punta Cardon,VE,1584317481,81,11.66,-70.22,78.42,18.21
San Cristobal,VE,1584317221,54,7.77,-72.22,82.4,4.7
Iqaluit,CA,1584317313,76,63.75,-68.51,-4.0,6.93
Pisco,PE,1584317398,30,-13.7,-76.22,71.6,18.34
Mitú,CO,1584317028,97,1.2,-70.17,74.1,3.67
San Fernando,PH,1584317494,83,15.03,120.69,80.6,4.7
San Quintín,MX,1584317450,71,30.48,-115.95,61.45,16.13
Merritt Island,US,1584317436,61,28.54,-80.67,81.0,5.82
Atuona,PF,1584316914,65,-9.8,-139.03,82.42,9.31
Hinton,CA,1584317505,76,53.4,-117.59,29.43,4.21
Les Cayes,HT,1584317101,71,18.2,-73.75,80.42,6.4
Chicama,PE,1584317281,83,-7.84,-79.15,73.4,9.17
Río Sereno,PA,1584317512,66,8.82,-82.87,84.2,2.24
San Miguel de Cozumel,MX,1584317308,74,20.51,-86.95,80.6,8.05
San Buenaventura,MX,1584317518,62,27.08,-101.53,80.01,4.0
Baker City,US,1584317521,93,44.77,-117.83,37.4,8.05
Zamora,EC,1584317524,65,-4.07,-78.96,77.0,9.17
Pochutla,MX,1584317526,70,15.74,-96.47,84.2,11.41
Sioux Lookout,CA,1584317435,39,50.1,-91.92,30.2,8.05
Hutchinson,US,1584317241,86,38.06,-97.93,42.8,8.05
San Rafael del Sur,NI,1584317533,55,11.85,-86.44,86.0,16.11
Paita,PE,1584317415,100,-5.09,-81.11,62.6,11.41
Hornepayne,CA,1584317538,86,49.21,-84.77,14.7,2.3
Keokuk,US,1584317541,84,40.4,-91.38,41.0,4.7
Kearney,US,1584317506,94,40.7,-99.08,33.8,12.75
Coquimbo,CL,1584317545,82,-29.95,-71.34,62.6,6.93
Thompson,CA,1584317377,57,55.74,-97.86,19.4,13.87
Nautla,MX,1584317551,80,20.22,-96.78,74.5,3.18
Todos Santos,MX,1584316993,64,23.45,-110.22,73.0,5.82
Bahía Solano,CO,1584317557,82,6.23,-77.4,78.21,6.73
Iquitos,PE,1584317561,74,-3.75,-73.25,86.0,4.7
High Level,CA,1584316837,80,58.52,-117.14,32.0,3.36
Juradó,CO,1584317062,85,7.11,-77.76,78.17,3.85
Ejido,VE,1584317570,94,8.55,-71.24,52.36,1.43
Chimbote,PE,1584317573,59,-9.09,-78.58,79.09,7.58
Beaverlodge,CA,1584317575,47,55.22,-119.44,15.8,1.86
Steamboat Springs,US,1584317304,31,40.48,-106.83,50.0,1.45
Warrington,GB,1584317581,75,53.39,-2.58,46.4,14.99
Albert Lea,US,1584317333,69,43.65,-93.37,37.4,9.17
El Real de Santa Maria,PA,1584317587,76,8.11,-77.73,75.85,5.1
Brookhaven,US,1584317526,61,31.58,-90.44,78.8,12.75
Taft,IR,1584317592,54,31.75,54.21,55.4,9.17
Old Saybrook,US,1584317594,70,41.29,-72.38,46.4,3.36
Garden City,US,1584317561,32,42.33,-83.33,39.99,8.05
Sturgis,US,1584317600,38,41.8,-85.42,45.0,4.7
Virginia Beach,US,1584317474,75,36.85,-75.98,48.2,11.41
Fallon,US,1584317604,21,39.47,-118.78,59.0,28.86
Peru,US,1584317606,80,40.75,-86.07,44.01,8.05
Rodeo,US,1584317609,58,38.03,-122.27,55.0,11.41
Guerrero Negro,MX,1584317613,62,27.98,-114.06,63.68,16.82
Marquette,US,1584317392,63,46.53,-87.63,28.4,9.17
Matiguás,NI,1584317621,73,12.84,-85.46,69.8,9.17
Fort Frances,CA,1584317623,89,48.6,-93.4,33.01,5.82
Puerto Escondido,MX,1584317626,83,15.85,-97.07,84.2,6.93
Lima,PE,1584317402,78,-12.04,-77.03,75.2,13.87
Flin Flon,CA,1584317156,72,54.77,-101.86,17.6,11.41
Minot,US,1584317363,92,48.23,-101.3,30.2,4.7
La Santisima Trinidad,BO,1584317182,79,-14.83,-64.9,86.0,1.74
Ebéjico,CO,1584317644,82,6.33,-75.77,64.4,5.82
Hayden,US,1584317650,55,47.77,-116.79,37.4,12.75
Rapid Valley,US,1584317653,69,44.06,-103.15,41.0,12.75
Bay City,US,1584317655,58,43.59,-83.89,33.01,13.87
Caucayá,CO,1584317659,81,-0.19,-74.78,76.86,2.06
Anaconda,US,1584317661,62,46.13,-112.94,24.8,6.93
Freeport,US,1584317415,70,40.66,-73.58,50.0,6.93
Guantánamo,CU,1584317665,51,20.14,-75.21,80.6,16.11
Ipixuna,BR,1584317668,94,-1.76,-48.8,75.2,5.82
Mosquera,CO,1584317552,77,4.71,-74.23,60.8,10.29
Talara,PE,1584317673,100,-4.58,-81.27,62.6,11.41
Champerico,GT,1584317373,62,14.3,-91.92,86.0,9.17
Hearst,CA,1584317679,91,49.68,-83.67,11.26,4.43
Huejuquilla el Alto,MX,1584317682,23,22.6,-103.87,81.99,13.58
Morgan City,US,1584317684,83,29.7,-91.21,80.01,10.29
San Felipe,VE,1584317687,91,10.34,-68.74,69.64,2.53
Winslow,US,1584317439,22,35.02,-110.7,66.2,9.17
Talavera,PH,1584317693,83,15.62,120.93,77.0,4.7
Cockburn Town,TC,1584317487,71,21.46,-71.14,74.23,16.26
