Sum of INF_A,Column Labels,,,
Row Labels,Argentina,Canada,United States of America,Grand Total
2009,10991,57688,162655,231334
1,0,43,307,350
2,0,66,490,556
3,0,112,638,750
4,0,153,1065,1218
5,0,191,1573,1764
6,0,324,2109,2433
7,0,422,2250,2672
8,0,520,1975,2495
9,0,583,1768,2351
10,0,651,1494,2145
11,0,561,1088,1649
12,,551,856,1407
13,0,431,607,1038
14,0,338,328,666
15,1,225,270,496
16,0,201,153,354
17,0,159,169,328
18,5,275,3502,3782
19,4,341,4431,4776
20,3,283,2815,3101
21,159,830,3782,4771
22,22,367,4092,4481
23,34,1478,4971,6483
24,557,2947,5407,8911
25,797,3388,5914,10099
26,2392,1537,4245,8174
27,3438,1013,3256,7707
28,1734,862,3248,5844
29,806,,2637,3443
30,283,,2296,2579
31,171,,2709,2880
32,113,,1811,1924
33,94,,1713,1807
34,110,,2102,2212
35,73,,2131,2204
36,25,116,2986,3127
37,40,110,3763,3913
38,23,131,4332,4486
39,15,248,4592,4855
40,5,263,5721,5989
41,7,684,8170,8861
42,12,1503,10840,12355
43,12,4184,12081,16277
44,3,8039,9751,17793
45,3,8790,7551,16344
46,6,7191,5788,12985
47,11,4351,3441,7803
48,10,1957,1860,3827
49,7,768,1314,2089
50,10,300,799,1109
51,3,123,655,781
52,3,46,389,438
53,,32,420,452
Grand Total,10991,57688,162655,231334
