Country,Americas,WHOREGION,FLUREGION,Year,Week,Weather,Classification of Population,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,ALL_INF,ALL_INF2,TITLE
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,1,Hot Weather,Low,12/31/2007,1/6/2008,,19,0,,0,19,No Activity
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,2,Hot Weather,Low,1/7/2008,1/13/2008,,21,0,,0,21,No Activity
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,3,Hot Weather,Low,1/14/2008,1/20/2008,,27,0,,0,27,No Activity
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,4,Hot Weather,Low,1/21/2008,1/27/2008,,25,0,,0,25,No Activity
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,5,Hot Weather,Low,1/28/2008,2/3/2008,,26,0,,0,26,No Activity
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,6,Hot Weather,Low,2/4/2008,2/10/2008,,25,0,,0,25,No Activity
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,7,Hot Weather,Low,2/11/2008,2/17/2008,,27,0,,0,27,No Activity
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,8,Hot Weather,Low,2/18/2008,2/24/2008,,25,0,,0,25,No Activity
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,9,Hot Weather,Low,2/25/2008,3/2/2008,,20,0,,0,20,No Activity
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,10,Hot Weather,Low,3/3/2008,3/9/2008,,28,0,,0,28,No Activity
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,11,Mid Weather,Low,3/10/2008,3/16/2008,,54,0,,0,54,No Activity
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,12,Mid Weather,Low,3/17/2008,3/23/2008,,42,0,,0,42,No Activity
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,13,Mid Weather,Low,3/24/2008,3/30/2008,,58,0,,0,58,No Activity
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,14,Mid Weather,Low,3/31/2008,4/6/2008,,57,0,,2,55,Sporadic
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,15,Mid Weather,Low,4/7/2008,4/13/2008,,57,1,,1,56,Sporadic
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,16,Mid Weather,Low,4/14/2008,4/20/2008,,55,0,,0,55,No Activity
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,17,Mid Weather,Low,4/21/2008,4/27/2008,,77,0,,5,72,Sporadic
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,18,Mid Weather,Low,4/28/2008,5/4/2008,,380,0,,1,379,Sporadic
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,19,Mid Weather,Low,5/5/2008,5/11/2008,,685,0,,3,682,Sporadic
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,20,Mid Weather,Low,5/12/2008,5/18/2008,,670,0,,3,667,Sporadic
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,21,Mid Weather,Low,5/19/2008,5/25/2008,,856,0,,5,851,Sporadic
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,22,Mid Weather,Low,5/26/2008,6/1/2008,,783,0,,15,768,Local Outbreak
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,23,Mid Weather,Low,6/2/2008,6/8/2008,,1144,2,,25,1119,Local Outbreak
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,24,Mid Weather,Low,6/9/2008,6/15/2008,,1186,1,,23,1163,Local Outbreak
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,25,Cold Weather,Low,6/16/2008,6/22/2008,,1260,0,,53,1207,Regional Outbreak
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,26,Cold Weather,Low,6/23/2008,6/29/2008,,1192,1,,86,1106,Widespread Outbreak
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,27,Cold Weather,Low,6/30/2008,7/6/2008,,1138,2,,88,1050,Widespread Outbreak
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,28,Cold Weather,Low,7/7/2008,7/13/2008,,924,1,,77,847,Widespread Outbreak
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,29,Cold Weather,Low,7/14/2008,7/20/2008,,962,3,,72,890,Widespread Outbreak
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,30,Cold Weather,Low,7/21/2008,7/27/2008,,853,6,,112,741,Regional Outbreak
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,31,Cold Weather,Low,7/28/2008,8/3/2008,,697,2,,45,652,Local Outbreak
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,32,Cold Weather,Low,8/4/2008,8/10/2008,,678,0,,36,642,Sporadic
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,33,Cold Weather,Low,8/11/2008,8/17/2008,,708,0,,27,681,Sporadic
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,34,Cold Weather,Low,8/18/2008,8/24/2008,,502,0,,12,490,Sporadic
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,35,Cold Weather,Low,8/25/2008,8/31/2008,,568,1,,15,553,Sporadic
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,36,Cold Weather,Low,9/1/2008,9/7/2008,,644,0,,21,623,Sporadic
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,37,Mid Weather,Low,9/8/2008,9/14/2008,,514,0,,16,498,Sporadic
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,38,Mid Weather,Low,9/15/2008,9/21/2008,,403,0,,10,393,Sporadic
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,39,Mid Weather,Low,9/22/2008,9/28/2008,,181,0,,12,169,Sporadic
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,40,Mid Weather,Low,9/29/2008,10/5/2008,,203,0,,4,199,Sporadic
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,41,Mid Weather,Low,10/6/2008,10/12/2008,,145,0,,6,139,Sporadic
Argentina,SA,Region of the Americas of WHO,Temperate South America,2008,42,Mid Weather,Low,10/13/2008,10/19/2008,,,,,,,No Report
