City,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Paredon,MX,1584366220,59,16.03,-93.87,85.55,17.69
Puerto Ayora,EC,1584366222,88,-0.74,-90.35,80.01,4.7
Creel,MX,1584366224,57,27.75,-107.63,53.33,3.85
San Cristobal,VE,1584366247,83,7.77,-72.22,75.2,2.24
Coahuayana Viejo,MX,1584366249,88,18.73,-103.68,69.8,2.59
Acapulco de Juárez,MX,1584366251,88,16.86,-99.89,75.2,1.36
San Jerónimo,PE,1584366254,68,-11.95,-75.28,50.63,4.16
Celestún,MX,1584366256,81,20.87,-90.4,75.65,9.04
Ocampo,MX,1584366258,75,21.65,-101.5,57.65,2.77
Esmeraldas,BR,1584366260,61,-19.76,-44.31,77.0,5.82
Salinas,US,1584366255,100,36.68,-121.66,46.99,9.66
Rodeo,US,1584366264,100,38.03,-122.27,45.0,6.93
Nombre de Dios,MX,1584366266,61,23.85,-104.23,57.0,2.82
Houma,US,1584366270,94,29.6,-90.72,68.0,6.6
Acajutla,SV,1584366272,60,13.59,-89.83,73.4,3.36
Bahía Honda,CU,1584366274,67,22.9,-83.16,77.63,11.74
Edgewater,US,1584366276,71,28.99,-80.9,73.99,9.17
San Patricio,MX,1584366278,78,19.22,-104.7,77.09,2.68
Hopelchén,MX,1584366282,88,19.77,-89.85,71.6,6.04
Rockport,US,1584366284,94,28.02,-97.05,72.0,11.41
Savannah Bight,HN,1584366286,78,16.45,-85.85,79.07,14.61
Ciudad de Armería,MX,1584366288,88,18.93,-103.97,69.8,1.99
Freeport,US,1584366012,34,40.66,-73.58,37.99,11.41
Puerto Escondido,MX,1584366292,88,15.85,-97.07,75.2,8.05
Barra de Tecoanapa,MX,1584366295,47,16.52,-98.75,86.45,1.7
Isla Mujeres,MX,1584366297,74,21.23,-86.73,78.8,4.7
Bonanza,NI,1584366299,79,14.03,-84.59,76.73,3.11
Sayaxché,GT,1584366301,67,16.52,-90.17,79.07,0.2
El Alto,PE,1584366202,100,-4.27,-81.21,62.6,11.41
Ixtapa,MX,1584366305,93,20.7,-105.2,70.0,3.58
Naples,IT,1584366245,36,40.83,14.25,68.0,6.93
Salamá,HN,1584366309,54,14.83,-86.58,74.75,2.37
Iralaya,HN,1584366311,75,15.0,-83.23,79.79,15.88
Agua Verde,MX,1584366314,93,22.9,-106.05,69.01,2.39
Camargo,MX,1584366316,62,27.67,-105.17,67.01,13.29
San Agustín Acasaguastlán,GT,1584366318,55,14.95,-89.97,74.21,0.83
Progreso,MX,1584366320,88,21.28,-89.67,73.4,8.05
Lake Wales,US,1584366322,94,27.9,-81.59,75.0,4.7
Mundo Nuevo (Ojo de Agua),MX,1584366324,69,18.7,-95.5,75.83,3.27
Mosquera,CO,1584366147,78,4.71,-74.23,59.99,1.34
Santa Barbara,US,1584366328,100,34.42,-119.7,57.2,6.93
Chalchihuites,MX,1584366331,43,23.48,-103.88,61.43,2.8
San Andrés,CO,1584366330,69,12.58,-81.7,82.4,9.17
Lázaro Cárdenas,MX,1584366335,61,17.96,-102.2,81.41,2.17
Manta,EC,1584366337,88,-0.95,-80.73,78.8,1.12
Tlacotepec (San Mateo),MX,1584366339,93,20.07,-97.87,56.93,2.48
