City,Country,Date,Humidity,Lat,Lng,Max Temp,Min Temp,Wind Speed
Rawson,AR,1584367349,59,-43.3,-65.1,67.01,67.01,3.29
Punta Arenas,CL,1584367351,71,-53.15,-70.92,53.6,51.8,24.16
Gilbués,BR,1584367251,91,-9.83,-45.34,72.23,72.23,3.96
Alta Floresta,BR,1584367355,78,-9.88,-56.09,82.4,82.4,3.36
Mar del Plata,AR,1584367349,77,-38.0,-57.56,62.01,60.8,5.82
Viedma,AR,1584367189,21,-40.81,-63.0,77.99,77.99,18.32
Inírida,CO,1584367361,76,3.87,-67.92,82.67,82.67,3.85
Itarema,BR,1584367363,67,-2.92,-39.92,86.81,86.81,5.41
São Miguel do Araguaia,BR,1584367230,73,-13.28,-50.16,84.65,84.65,2.59
Cidreira,BR,1584367368,89,-30.18,-50.21,72.77,72.77,16.69
Lincoln,US,1584367275,93,40.8,-96.67,36.0,32.0,4.7
Taltal,CL,1584367372,69,-25.4,-70.48,66.47,66.47,7.4
Lábrea,BR,1584367374,92,-7.26,-64.8,77.27,77.27,1.39
Arraial do Cabo,BR,1584367133,70,-22.97,-42.03,86.0,86.0,10.29
Challapata,BO,1584367379,74,-18.9,-66.77,50.09,50.09,12.8
Mórrope,PE,1584367381,29,-6.54,-80.01,66.2,66.2,6.93
São João da Barra,BR,1584367383,62,-21.64,-41.05,87.8,86.0,9.17
Conceição da Barra,BR,1584367385,71,-18.59,-39.73,81.41,81.41,4.61
São Manuel,BR,1584367279,74,-22.73,-48.57,82.4,82.0,4.7
Pacora,PA,1584367411,61,9.08,-79.28,86.0,80.6,6.93
Mitú,CO,1584367159,55,1.2,-70.17,88.97,88.97,3.8
Castro,BR,1584367215,50,-24.79,-50.01,82.31,82.31,6.04
Cravo Norte,CO,1584367417,31,6.3,-70.2,92.03,92.03,15.17
Requena,ES,1584367419,87,39.49,-1.1,51.8,46.99,12.75
Antequera,ES,1584367421,27,37.02,-4.56,64.4,51.01,16.11
Cayenne,GF,1584367205,66,4.93,-52.33,86.0,86.0,10.29
La Macarena,CO,1584367426,55,2.18,-73.78,87.71,87.71,4.79
Boa Vista,BR,1584367428,51,2.82,-60.67,86.0,86.0,16.11
Vallenar,CL,1584367430,65,-28.57,-70.76,67.91,67.91,5.7
Rocha,UY,1584367432,40,-34.48,-54.33,73.67,73.67,5.59
Teresópolis,BR,1584367434,70,-22.41,-42.97,91.4,78.01,4.7
Tumaco,CO,1584367269,81,1.8,-78.82,78.71,78.71,8.77
Talcahuano,CL,1584367183,77,-36.72,-73.12,59.0,59.0,4.7
Santa Rosa,PH,1584367440,69,14.31,121.11,81.0,79.0,9.17
Laguna,US,1584367443,100,38.42,-121.42,42.8,35.01,5.82
Porto Nacional,BR,1584367264,74,-10.71,-48.42,80.6,80.6,6.93
Rio Grande,BR,1584367447,69,-32.03,-52.1,75.99,75.2,10.29
Conde,BR,1584367449,74,-7.26,-34.91,84.2,84.2,5.82
Sena Madureira,BR,1584367451,64,-9.07,-68.66,85.19,85.19,3.09
Leiva,CO,1584367453,100,1.93,-77.3,62.6,62.6,2.55
Mirador,BR,1584367455,96,-6.37,-44.36,72.41,72.41,3.49
La Rioja,ES,1584367416,100,42.25,-2.5,39.2,36.0,9.17
Jacareacanga,BR,1584367460,83,-6.22,-57.75,82.4,82.4,5.82
Ushuaia,AR,1584367165,93,-54.8,-68.3,53.6,48.2,17.22
Barra do Garças,BR,1584367464,69,-15.89,-52.26,82.4,82.4,2.24
Ancud,CL,1584367467,93,-41.87,-73.82,53.6,53.6,1.12
Diamantino,BR,1584367469,65,-14.41,-56.45,85.55,85.55,5.14
Departamento de Maldonado,UY,1584367462,72,-34.67,-54.92,69.01,68.0,4.7
