City,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
San Andrés,CO,1584317506,66,12.58,-81.7,84.2,11.41
Concordia,AR,1584317654,96,-31.39,-58.02,69.01,8.99
Nicoya,CR,1584317138,40,10.15,-85.45,89.6,24.16
Puerto Escondido,MX,1584317626,83,15.85,-97.07,84.2,6.93
Puerto Ayora,EC,1584317287,78,-0.74,-90.35,82.4,10.29
Dzilam González,MX,1584317663,84,21.28,-88.93,77.04,26.02
Pochutla,MX,1584317526,70,15.74,-96.47,84.2,11.41
Muisne,EC,1584317358,94,0.6,-80.03,78.8,4.7
Roxana,CR,1584317670,68,10.28,-83.75,73.4,17.22
San Fernando,PH,1584317494,83,15.03,120.69,80.6,4.7
Ixtapa,MX,1584317509,73,20.7,-105.2,77.0,11.41
Santa Fe,AR,1584317610,86,-31.63,-60.7,70.0,3.0
Manta,EC,1584317284,78,-0.95,-80.73,82.4,10.29
Acajutla,SV,1584317514,26,13.59,-89.83,93.2,6.93
La Orilla,MX,1584317689,69,17.98,-102.23,81.68,6.93
Acapulco de Juárez,MX,1584317651,74,16.86,-99.89,84.2,9.17
Miguel Hidalgo,MX,1584317562,31,19.42,-99.2,87.8,20.8
Valentín Gómez Farías,MX,1584317695,27,28.22,-106.58,75.0,5.01
Lehigh Acres,US,1584317698,69,26.63,-81.62,79.0,5.82
Progreso,MX,1584317701,52,21.28,-89.67,87.8,11.41
San Diego de Los Baños,CU,1584317703,57,22.65,-83.37,76.28,1.66
Ocós,GT,1584317706,70,14.51,-92.19,86.0,5.82
Creel,MX,1584317291,41,27.75,-107.63,60.71,11.43
Barra de Tecoanapa,MX,1584317450,58,16.52,-98.75,85.06,7.58
San Miguel de Cozumel,MX,1584317308,74,20.51,-86.95,80.6,8.05
San Patricio,MX,1584317365,70,19.22,-104.7,84.2,9.17
Houma,US,1584317553,69,29.6,-90.72,80.6,9.17
Vega de Alatorre,MX,1584317723,86,20.03,-96.63,75.81,4.85
Huichapan,MX,1584317726,38,20.38,-99.65,77.0,17.22
Paraíso,CR,1584317710,68,9.84,-83.87,73.4,17.22
Spring Hill,US,1584317730,64,28.48,-82.53,80.6,8.05
Isla Mujeres,MX,1584317590,78,21.23,-86.73,78.8,6.93
San Cristobal,VE,1584317221,54,7.77,-72.22,82.4,4.7
Jalpan,MX,1584317738,68,21.23,-99.48,66.81,6.98
George Town,MY,1584317691,88,5.41,100.34,78.8,2.82
Tres Palos,MX,1584317743,66,18.18,-101.62,86.0,10.29
Fresnillo,MX,1584317695,25,23.17,-102.88,77.0,9.17
Puerto Baquerizo Moreno,EC,1584317748,83,-0.9,-89.6,82.4,6.93
Chulucanas,PE,1584317750,90,-5.09,-80.16,66.81,2.77
Chirilagua,SV,1584317752,58,13.22,-88.14,87.8,5.82
Hidalgo,MX,1584317755,63,20.5,-99.0,64.36,11.5
San Pedro Sula,HN,1584317730,74,15.5,-88.03,84.2,11.41
Mazatlán,MX,1584317250,65,23.22,-106.42,78.8,11.41
San Jose,US,1584317719,76,37.34,-121.89,55.0,4.7
El Jícaro,GT,1584317765,66,14.92,-89.9,70.59,5.7
Tumbes,PE,1584317459,33,-3.57,-80.44,89.6,6.93
Agramonte,CU,1584317769,73,22.68,-81.12,75.2,12.75
Mapimí,MX,1584317771,21,25.82,-103.85,91.4,9.17
Rio Grande City,US,1584317773,48,26.38,-98.82,82.99,18.34
Pénjamo,MX,1584317777,23,20.43,-101.73,82.4,4.65
Petatlán,MX,1584317779,66,17.52,-101.27,86.0,10.29
Buenavista,PH,1584317781,71,8.98,125.41,78.13,2.51
Corn Island,NI,1584317723,78,12.17,-83.04,80.76,17.25
Choix,MX,1584317785,23,26.71,-108.32,81.7,12.73
Puerto Lempira,HN,1584317789,78,15.27,-83.77,80.6,5.82
Champerico,GT,1584317373,62,14.3,-91.92,86.0,9.17
Talara,PE,1584317673,100,-4.58,-81.27,62.6,11.41
La Reforma,MX,1584317797,64,18.1,-91.02,81.88,1.43
Xochistlahuaca,MX,1584317799,60,16.78,-98.25,76.08,4.61
Alamor,EC,1584317802,74,-4.02,-80.02,89.6,5.82
Ciudad del Carmen,MX,1584317520,83,18.63,-91.83,78.8,11.41
Villa Sandino,NI,1584317806,58,12.05,-84.99,86.0,4.7
Bucerías,MX,1584317511,73,20.75,-105.33,77.0,11.41
Santa Clara,CU,1584317812,69,22.4,-79.97,78.8,11.41
Lampazos de Naranjo,MX,1584317814,62,27.02,-100.52,78.31,6.31
Mazamitla,MX,1584317817,54,19.92,-103.03,71.19,5.95
Coahuayana Viejo,MX,1584317819,74,18.73,-103.68,80.6,13.87
Puerto Cabezas,NI,1584317822,88,14.04,-83.39,82.4,9.17
Siuna,NI,1584317825,73,13.73,-84.78,75.97,4.16
El Alto,PE,1584317827,100,-4.27,-81.21,62.6,11.41
Laguna de Perlas,NI,1584317770,78,12.34,-83.67,82.4,4.7
Port Saint Lucie,US,1584317557,64,27.29,-80.35,78.01,4.7
Iralaya,HN,1584317834,78,15.0,-83.23,80.6,5.82
Agua Verde,MX,1584317836,57,22.9,-106.05,77.0,10.29
San José de Río Tinto,HN,1584317840,79,14.93,-85.7,72.01,3.42
Celestún,MX,1584317779,84,20.87,-90.4,77.14,22.21
Province of Mantua,IT,1584317845,80,45.17,10.78,46.0,6.93
Mascota,MX,1584317847,73,20.52,-104.78,77.0,11.41
Galveston,US,1584317844,94,29.37,-94.97,78.01,8.05
Varadero,CU,1584317853,73,23.15,-81.25,75.2,12.75
Savannah Bight,HN,1584317471,79,16.45,-85.85,79.95,15.21
Linares,CL,1584317610,19,-35.85,-71.6,67.8,4.43
Capilla de Guadalupe,MX,1584317862,60,20.83,-102.58,64.17,13.85
Iztapa,GT,1584317864,62,13.93,-90.71,87.8,9.17
Clearwater,US,1584317867,73,27.97,-82.8,79.0,12.75
Orange Walk District,BZ,1584317871,78,17.83,-88.83,80.6,6.93
Belle Glade,US,1584317875,78,26.68,-80.67,78.01,4.7
Santa Cruz de la Sierra,BO,1584317878,74,-17.8,-63.17,86.0,4.7
Anáhuac,MX,1584317882,45,27.23,-100.15,86.0,17.22
Puntarenas,CR,1584317884,64,9.98,-84.84,73.4,14.99
Manzanillo,CU,1584317887,54,20.34,-77.12,76.84,13.62
Esmeraldas,BR,1584317889,60,-19.76,-44.31,75.2,3.36
Rosita,NI,1584317891,96,13.93,-84.4,71.49,2.75
Morgan City,US,1584317684,83,29.7,-91.21,80.01,10.29
Tula,RU,1584317602,67,54.2,37.61,25.84,11.77
San Rafael del Sur,NI,1584317533,55,11.85,-86.44,86.0,16.11
Panabá,MX,1584317901,69,21.28,-88.27,79.25,12.73
Naples,IT,1584317887,57,40.83,14.25,54.0,8.05
Sayaxché,GT,1584317906,79,16.52,-90.17,77.99,2.91
Balancán,MX,1584317704,52,17.8,-91.53,89.6,11.41
Salinas,US,1584317911,62,36.68,-121.66,55.4,12.75
Santa Elena,EC,1584317913,83,-2.23,-80.85,80.6,9.17
Brownsville,US,1584317903,73,25.9,-97.5,82.4,12.75
San Jerónimo,PE,1584317918,94,-11.95,-75.28,45.43,7.87
Stann Creek Town,BZ,1584317920,78,16.97,-88.23,80.6,6.93
Tlatenchi,MX,1584317922,25,18.58,-99.2,96.01,4.7
Tayoltita,MX,1584317924,34,24.08,-105.93,78.84,6.24
Matamoros,MX,1584317927,21,25.53,-103.25,91.4,9.17
Estelle,US,1584317832,69,29.85,-90.11,79.0,8.05
Lavaca,US,1584317931,88,28.61,-96.63,75.2,12.75
Puerto Madero,MX,1584317933,70,14.72,-92.42,86.0,5.82
Doctor Arroyo,MX,1584317935,54,23.67,-100.18,70.03,11.88
Bayshore Gardens,US,1584317824,78,27.43,-82.59,79.0,8.05
Tomatlán,MX,1584317748,67,19.93,-105.25,79.21,5.59
Palizada,MX,1584317727,83,18.25,-92.08,78.8,11.41
Bahía Honda,CU,1584317944,76,22.9,-83.16,75.13,11.88
Nuevo Progreso,MX,1584317947,84,23.17,-97.95,78.01,1.99
San José del Castillo,MX,1584317949,26,20.53,-103.23,84.0,5.82
Ocampo,MX,1584317951,47,21.65,-101.5,66.88,8.03
Key West,US,1584317751,65,24.56,-81.78,78.8,10.29
Reynosa,MX,1584317797,48,26.08,-98.28,82.4,18.34
Seybaplaya,MX,1584317958,74,19.65,-90.67,80.6,17.22
San José de las Lajas,CU,1584317960,65,22.96,-82.15,77.0,11.41
Antón Lizardo,MX,1584317962,83,19.05,-95.98,80.01,12.75
Turrialba,CR,1584317714,68,9.9,-83.68,73.4,17.22
Santa Catarina de Tepehuanes,MX,1584317967,14,25.35,-105.73,72.46,19.53
Apozol,MX,1584317969,25,21.48,-103.1,81.19,6.67
Panama City,PA,1584317709,61,8.99,-79.52,86.0,10.29
Quepos,CR,1584317973,68,9.42,-84.17,73.4,17.22
San Blas,MX,1584317976,60,21.52,-105.27,75.2,9.17
General Cepeda,MX,1584317978,68,25.38,-101.45,68.0,5.82
Jipijapa,EC,1584317764,78,-1.33,-80.58,82.4,10.29
Orotina,CR,1584317709,64,9.91,-84.52,73.4,14.99
Pizarro,CO,1584317985,81,4.95,-77.37,79.43,7.16
Chalmette,US,1584317422,69,29.94,-89.96,80.6,8.05
Seminole,US,1584317989,61,28.71,-81.21,82.99,8.05
Tepalcatepec,MX,1584317991,54,19.18,-102.85,80.33,7.92
Tecpan,GT,1584317993,43,14.76,-90.99,73.4,18.34
Totolapan,MX,1584317996,83,18.52,-96.18,80.01,12.75
Charcas,MX,1584317998,40,23.13,-101.12,73.09,17.81
St. Pete Beach,US,1584318000,73,27.73,-82.74,78.01,10.29
La Libertad,EC,1584318002,83,-2.23,-80.9,80.6,9.17
La Cruz,MX,1584318005,74,23.92,-106.9,75.99,3.0
Cape Canaveral,US,1584318007,78,28.41,-80.6,78.8,6.93
La Palma,US,1584318009,48,33.85,-118.05,64.99,8.05
Guadalupe y Calvo,MX,1584318011,38,26.1,-106.97,64.35,9.35
Santa Barbara,US,1584317973,87,34.42,-119.7,62.6,5.82
Jocón,HN,1584318016,78,15.28,-86.97,80.6,17.22
Brandon,US,1584318018,83,27.94,-82.29,80.01,12.19
Ciudad Valles,MX,1584318020,59,21.98,-99.02,82.53,7.76
Lázaro Cárdenas,MX,1584317466,69,17.96,-102.2,81.68,6.93
San Esteban,HN,1584318025,79,15.2,-85.75,72.01,3.42
Barra Patuca,HN,1584318027,77,15.8,-84.28,80.31,12.55
Warrington,GB,1584317581,75,53.39,-2.58,46.4,14.99
Avon Park,US,1584318031,57,27.6,-81.51,82.4,8.05
Tamiahua,MX,1584318033,87,21.27,-97.45,75.2,10.25
El Campo,US,1584318036,61,29.2,-96.27,77.0,14.99
Cazones de Herrera,MX,1584318038,78,20.72,-97.32,80.6,9.17
Waspán,NI,1584317766,78,14.74,-83.97,80.6,5.82
Jiquinlaca,HN,1584318043,58,14.0,-88.35,87.8,5.82
Hong Kong,HK,1584317901,68,22.29,114.16,70.0,19.46
Guane,CU,1584317856,68,22.2,-84.09,76.77,4.47
Tarpon Springs,US,1584318049,78,28.15,-82.76,78.8,5.82
Bocas del Toro,PA,1584318052,65,9.33,-82.25,66.0,8.01
Bodden Town,KY,1584317845,78,19.28,-81.25,78.8,11.41
Abbeville,FR,1584318056,87,50.1,1.83,48.2,5.82
Valparaíso,CL,1584318058,87,-33.04,-71.63,64.4,8.05
Guerrero,MX,1584318061,64,17.67,-100.0,68.61,4.65
Eldorado,BR,1584318063,65,-23.79,-54.28,78.42,5.12
La Gomera,GT,1584318065,62,14.08,-91.05,87.8,9.17
Villa Guerrero,MX,1584318067,25,18.87,-99.65,96.01,4.7
Pascagoula,US,1584318069,60,30.37,-88.56,75.2,4.7
City of San Pedro,PH,1584318071,65,14.35,121.02,82.99,8.05
Valle de Juárez,MX,1584318074,54,19.93,-102.93,71.19,5.95
Chisec,GT,1584318076,78,15.82,-90.28,77.52,3.2
Freeport,US,1584317415,70,40.66,-73.58,50.0,6.93
Guanaja,HN,1584318080,74,16.4,-85.9,80.6,13.87
Cypress Lake,US,1584318083,65,26.54,-81.9,78.8,6.93
Tepetzintla,MX,1584318085,77,21.17,-97.83,77.02,9.95
La Trinidad,PH,1584318088,65,16.45,120.59,76.19,0.92
Rancho Veloz,CU,1584318090,69,22.88,-80.39,75.2,11.41
San Luis de la Paz,MX,1584317869,49,21.3,-100.52,75.0,7.0
Palo Alto,US,1584318094,54,37.44,-122.14,54.0,9.17
Benemérito de las Américas,MX,1584318097,75,16.52,-90.64,78.37,1.41
Huehuetoca,MX,1584318099,31,19.85,-99.2,75.2,20.8
Parrita,CR,1584318077,68,9.52,-84.32,73.4,17.22
Degollado,MX,1584318103,27,20.47,-102.15,79.02,6.38
Manto,HN,1584318105,74,14.92,-86.38,70.0,4.65
Espita,MX,1584318107,50,21.02,-88.32,84.88,10.6
Beeville,US,1584317967,74,28.4,-97.75,78.8,14.99
Paita,PE,1584317415,100,-5.09,-81.11,62.6,11.41
Adolfo López Mateos,MX,1584318114,33,28.47,-107.3,66.0,14.0
Bahía de Caráquez,EC,1584318117,83,-0.6,-80.42,80.6,6.93
French Harbor,HN,1584318119,74,16.35,-86.43,80.6,13.87
Punta de Piedra,VE,1584318033,44,7.62,-71.49,86.04,4.88
Salina Cruz,MX,1584318123,62,16.17,-95.2,86.36,27.92
Mariel,CU,1584318126,65,22.99,-82.75,77.0,11.41
Saint Cloud,US,1584317906,55,45.56,-94.16,37.99,8.05
Xicoténcatl,MX,1584318131,59,23.02,-98.88,84.99,14.0
Altamirano,MX,1584318133,70,16.88,-92.15,71.22,3.36
Cañada,ES,1584318135,82,38.68,-0.81,59.0,5.82
Graciano Sánchez,MX,1584318137,40,23.92,-99.28,86.0,16.11
Belize,BZ,1584317932,78,17.25,-88.75,87.8,6.93
Mocorito,MX,1584318142,16,25.48,-107.92,89.58,8.14
Alice,US,1584318144,69,27.75,-98.07,82.4,18.34
Antiguo Morelos,MX,1584318146,50,22.55,-99.08,84.0,11.01
Puerto Limón,CR,1584318149,74,10.0,-83.03,82.4,3.36
Zorritos,PE,1584318151,33,-3.68,-80.68,89.6,3.36
Corralillo,CU,1584318153,75,22.98,-80.59,74.34,13.58
Edinburgh,GB,1584318060,80,55.95,-3.2,42.01,1.12
Saltillo,MX,1584318154,68,25.42,-101.0,73.0,5.82
Quilalí,NI,1584318161,73,13.57,-86.03,69.8,9.17
Pleasanton,US,1584318141,81,37.66,-121.87,55.0,4.7
Pedregal,PA,1584318166,66,8.37,-82.43,84.2,2.24
Hopelchén,MX,1584318169,74,19.77,-89.85,80.6,17.22
Dulce Grande,MX,1584318171,25,23.0,-102.17,77.0,9.17
Duarte,US,1584318173,48,34.14,-117.98,66.0,8.05
Cinco Esquinas,CR,1584318175,64,10.1,-84.17,73.4,14.99
Nunkiní,MX,1584318177,74,20.33,-90.18,80.6,17.22
García,MX,1584318180,54,25.82,-100.58,80.6,17.4
Bluefields,NI,1584318028,78,12.01,-83.76,82.4,4.7
Máncora,PE,1584318184,100,-4.11,-81.05,62.6,10.29
Cienfuegos,CU,1584318186,57,22.15,-80.44,78.8,10.29
Cuautepec,MX,1584318188,74,16.7,-99.0,81.86,8.52
Cancún,MX,1584318003,78,21.17,-86.85,78.8,6.93
Camargo,MX,1584318193,51,27.67,-105.17,69.75,14.88
Corpus Christi,US,1584318013,100,27.8,-97.4,82.4,14.99
Los Algarrobos,PA,1584318197,66,8.5,-82.43,84.2,2.24
Immokalee,US,1584318199,73,26.42,-81.42,78.01,5.82
Tlachichuca,MX,1584318202,58,19.1,-97.42,62.42,11.92
Nicolás Bravo,MX,1584318204,65,18.45,-88.92,82.4,10.29
Sandy Bay,AU,1584318206,59,-42.91,147.35,62.01,5.82
Sechura,PE,1584317944,78,-5.56,-80.82,76.69,12.28
Santa Cruz del Norte,CU,1584318212,65,23.15,-81.92,77.0,11.41
Suchiapa,MX,1584318214,54,16.62,-93.08,84.2,24.16
Jerez,GT,1584318217,26,14.1,-89.75,93.2,6.93
Brus Laguna,HN,1584318219,85,15.75,-84.48,75.34,3.58
