City,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Fernie,CA,1584363883,85,49.5,-115.07,14.0,4.38
Hailey,US,1584363885,79,43.52,-114.32,32.0,10.29
Sioux Lookout,CA,1584363672,92,50.1,-91.92,26.6,8.05
Abbeville,FR,1584363712,76,50.1,1.83,51.8,8.05
El Sauzal de Rodríguez,MX,1584363892,91,31.9,-116.68,55.0,4.0
Newton,US,1584363678,42,42.34,-71.21,32.0,11.41
Scottsbluff,US,1584363645,100,41.87,-103.67,33.8,9.17
Duluth,US,1584363655,86,46.78,-92.11,32.0,9.17
Toccoa,US,1584363900,76,34.58,-83.33,52.0,6.93
Matagami,CA,1584363903,83,49.75,-77.63,-5.8,6.93
Ridgecrest,US,1584363640,75,35.62,-117.67,44.01,4.7
Monroe,US,1584363907,53,43.15,-77.68,28.99,4.7
Natchitoches,US,1584363909,93,31.77,-93.13,52.0,4.47
Castlegar,CA,1584363911,93,49.3,-117.67,11.01,3.71
Pecos,US,1584363913,100,31.42,-103.49,50.0,9.13
Saint Paul,US,1584363915,86,44.94,-93.09,34.0,5.82
Burlington,US,1584363637,64,39.88,-74.64,41.0,13.87
Kenora,CA,1584363920,92,49.82,-94.43,26.6,10.29
Jackson,US,1584363902,80,42.42,-122.83,35.6,2.13
Zanesville,US,1584363924,87,39.94,-82.01,35.01,3.67
Indian Head,US,1584363926,88,38.6,-77.16,44.01,3.36
Drayton Valley,CA,1584363928,84,53.22,-114.99,10.11,5.53
Rapid Valley,US,1584363930,92,44.06,-103.15,26.6,18.34
Oxbow,CA,1584363751,78,49.23,-102.17,14.0,16.11
Biggar,GB,1584363934,57,55.62,-3.52,50.0,23.04
Valleyview,CA,1584363652,92,55.07,-117.29,8.67,4.23
Las Vegas,US,1584363914,81,36.17,-115.14,52.0,5.82
Marshall,US,1584363941,100,34.38,-86.33,51.8,1.77
Cañon City,US,1584363759,41,38.44,-105.24,39.99,3.36
Plainview,US,1584363945,37,40.78,-73.47,37.99,13.87
Kapuskasing,CA,1584363947,56,49.42,-82.43,15.8,11.41
Meadow Lake,US,1584363949,74,34.8,-106.54,42.8,1.21
La Ronge,CA,1584363951,65,55.1,-105.28,8.6,11.41
Kuna,US,1584363953,100,43.49,-116.42,39.99,5.1
Prince Albert,CA,1584363781,70,53.2,-105.77,-0.4,8.05
Saint-Ambroise,CA,1584363958,75,48.55,-71.33,-4.0,3.36
Lander,US,1584363756,100,42.83,-108.73,26.6,4.7
Dauphin,CA,1584363962,71,51.15,-100.05,8.6,24.16
Garden City,US,1584363964,74,42.33,-83.33,30.99,7.05
Lamar,US,1584363966,93,33.67,-95.58,50.0,6.93
Beaverlodge,CA,1584363968,77,55.22,-119.44,-2.2,3.36
Gainesville,US,1584363943,93,29.65,-82.32,70.0,6.93
Saint George,US,1584363973,70,37.1,-113.58,46.99,12.75
Redlands,US,1584363975,71,34.06,-117.18,55.0,3.11
Sheridan,US,1584363977,78,44.83,-106.92,18.0,5.82
Havelock,US,1584363979,81,34.88,-76.9,48.2,12.75
Beckley,US,1584363919,86,37.78,-81.19,44.6,14.99
Thompson,CA,1584363785,78,55.74,-97.86,8.6,11.41
Carroll,US,1584363985,56,39.55,-77.02,43.0,12.75
Bismarck,US,1584363844,85,46.81,-100.78,21.2,11.41
Euclid,US,1584363827,63,41.59,-81.53,35.01,4.7
Albanel,CA,1584363992,69,48.88,-72.45,-4.0,2.24
Weyburn,CA,1584363994,81,49.67,-103.85,15.01,14.0
Iowa City,US,1584363996,89,41.66,-91.53,35.01,4.7
Flin Flon,CA,1584363916,71,54.77,-101.86,6.8,10.29
Coachella,US,1584364000,87,33.68,-116.17,59.0,8.05
Raton,US,1584364002,79,36.9,-104.44,36.0,6.93
Esterhazy,CA,1584364004,86,50.65,-102.08,5.07,14.43
Rolla,US,1584363806,93,37.95,-91.77,36.0,3.36
Amarillo,US,1584364008,100,35.22,-101.83,45.0,8.81
Chapais,CA,1584364010,67,49.78,-74.85,-25.6,2.24
Shaunavon,CA,1584364013,89,49.65,-108.42,2.73,5.35
High Prairie,CA,1584364015,90,55.43,-116.49,4.17,4.85
Shiloh,US,1584364017,86,38.56,-89.9,39.2,3.36
Dickinson,US,1584364019,88,29.46,-95.05,66.99,3.36
Carthage,TN,1584364021,56,36.86,10.33,68.0,14.99
Rodney,CA,1584364023,80,42.57,-81.68,30.2,11.41
Fayetteville,US,1584363985,70,35.05,-78.88,48.0,5.82
Iqaluit,CA,1584364027,77,63.75,-68.51,-2.0,6.93
Virginia Beach,US,1584363977,66,36.85,-75.98,50.0,13.87
Moose Factory,CA,1584364032,66,51.26,-80.61,12.2,8.05
Valparaíso,CL,1584363772,100,-33.04,-71.63,57.2,6.93
Traverse City,US,1584363886,68,44.76,-85.62,30.2,13.53
South Burlington,US,1584363839,67,44.47,-73.17,21.99,2.42
Statesville,US,1584364002,81,35.78,-80.89,48.2,5.82
