City,Country,Date,Humidity,Lat,Lng,Max Temp,Min Temp,Wind Speed
Barcelos,PT,1584317913,93,41.54,-8.62,44.01,39.0,1.79
Arraial do Cabo,BR,1584317916,82,-22.97,-42.03,78.51,78.51,23.8
Ananas,HT,1584317918,78,19.25,-71.96,70.97,70.97,9.04
Mar del Plata,AR,1584317915,87,-38.0,-57.56,61.0,55.4,2.24
Manacapuru,BR,1584317922,83,-3.3,-60.62,80.6,80.6,3.36
Augusto Corrêa,BR,1584317924,97,-1.02,-46.63,72.34,72.34,3.13
Urubamba,PE,1584317927,41,-13.3,-72.12,60.8,60.8,11.41
Bella Vista,US,1584317929,87,36.43,-94.23,46.4,41.0,10.29
Ipixuna,BR,1584317668,94,-1.76,-48.8,75.2,75.2,5.82
Ilhabela,BR,1584317933,84,-23.78,-45.36,78.55,78.55,6.98
Puerto Maldonado,PE,1584317935,100,-12.6,-69.18,33.8,33.8,2.24
Necochea,AR,1584317889,80,-38.55,-58.74,55.99,53.01,1.99
Cidreira,BR,1584317705,91,-30.18,-50.21,75.79,75.79,8.5
Touros,BR,1584317942,94,-5.2,-35.46,75.2,75.2,19.46
Vila Velha,BR,1584317944,83,-20.33,-40.29,79.0,78.8,3.36
Saquena,PE,1584317947,86,-4.67,-73.52,78.51,78.51,2.62
Coquimbo,CL,1584317545,82,-29.95,-71.34,62.6,62.6,6.93
Rocha,UY,1584317951,85,-34.48,-54.33,56.75,56.75,3.13
Laguna,US,1584317953,66,38.42,-121.42,55.0,42.01,11.41
Ushuaia,AR,1584317699,71,-54.8,-68.3,55.4,55.4,19.46
Comodoro Rivadavia,AR,1584317886,68,-45.87,-67.5,66.2,66.2,1.12
Rawson,AR,1584317960,58,-43.3,-65.1,65.25,65.25,18.03
Boa Vista,BR,1584317963,55,2.82,-60.67,86.0,86.0,11.41
Coyhaique,CL,1584317965,63,-45.58,-72.07,60.8,60.8,5.82
Caçador,BR,1584317818,58,-26.78,-51.02,71.15,71.15,1.03
Belmonte,BR,1584317969,88,-15.86,-38.88,77.0,77.0,3.36
Vera Cruz,BR,1584317973,89,-12.63,-41.03,69.28,69.28,4.52
Maricá,BR,1584317976,83,-22.92,-42.82,82.4,77.0,1.12
Alta Floresta,BR,1584317978,96,-9.88,-56.09,72.79,72.79,3.47
Urucará,BR,1584317980,93,-2.54,-57.76,74.53,74.53,2.55
Ilo,PE,1584317982,86,-17.64,-71.34,73.02,73.02,6.98
Juiz de Fora,BR,1584317985,68,-21.76,-43.35,69.8,69.8,3.36
Huaraz,PE,1584317987,88,-9.53,-77.53,45.68,45.68,1.95
Río Gallegos,AR,1584317989,37,-51.62,-69.22,69.8,69.8,19.46
Santiago,CL,1584317991,29,-33.46,-70.65,78.8,77.0,11.41
Rio Grande,BR,1584317760,94,-32.03,-52.1,68.0,68.0,12.97
Punta Arenas,CL,1584317996,76,-53.15,-70.92,57.2,57.0,14.99
Nortelândia,BR,1584317998,93,-14.45,-56.8,74.1,74.1,2.93
Barranca,PE,1584318000,90,-10.75,-77.77,74.03,74.03,10.4
Castro,BR,1584318002,78,-24.79,-50.01,67.95,67.95,3.47
Pontes e Lacerda,BR,1584318005,83,-15.23,-59.34,76.93,76.93,1.77
Pangoa,PE,1584318007,91,-12.12,-73.0,73.6,73.6,1.81
Japura,ID,1584318009,93,-0.32,102.35,74.98,74.98,0.87
Carauari,BR,1584318011,95,-4.88,-66.9,77.25,77.25,1.68
Neuquén,AR,1584318013,31,-38.95,-68.06,73.4,73.4,3.36
Bom Jesus,BR,1584318016,92,-9.07,-44.36,73.92,73.92,2.89
São Félix do Xingu,BR,1584318018,98,-6.64,-51.99,69.84,69.84,2.26
Porto Belo,BR,1584318020,65,-27.16,-48.55,79.0,77.0,4.7
Mana,GF,1584318023,85,5.66,-53.78,74.59,74.59,3.49
Chui,UY,1584318025,71,-33.7,-53.46,64.0,64.0,6.35
Lampa,CL,1584318027,29,-33.28,-70.9,78.8,59.0,11.41
Barras,BR,1584318029,99,-4.24,-42.29,74.08,74.08,1.81
Mosquera,CO,1584317552,77,4.71,-74.23,60.8,60.8,10.29
Pailón,BO,1584318034,74,-17.65,-62.75,86.0,82.4,4.7
Hualmay,PE,1584317933,76,-11.1,-77.61,72.79,72.79,4.32
Camocim,BR,1584318038,97,-2.9,-40.84,74.95,74.95,4.38
Terenos,BR,1584318040,69,-20.44,-54.86,78.8,78.8,10.29
Miranda,CO,1584318043,69,3.25,-76.23,77.0,77.0,9.17
Cayenne,GF,1584317816,88,4.93,-52.33,77.0,77.0,2.24
Ancud,CL,1584318047,76,-41.87,-73.82,57.2,57.2,4.7
